FlightNumber,Airline,DepartureTime,ArrivalTime,Delay,Cancellation,Destination
SkyWave3414,AirNSR,2023-01-07 07:15:00,2023-01-07 11:15:00,8,False,LAX
GlobeAir7790,PacificWings,2023-01-07 12:45:00,2023-01-07 16:45:00,21,False,ATL
SkyWave1090,AirNSR,2023-01-07 19:14:00,2023-01-07 21:14:00,0,False,SYD
GlobeAir1822,PacificWings,2023-01-07 13:58:00,2023-01-07 14:58:00,0,False,DXB
PacificWings6198,GlobeAir,2023-01-07 22:27:00,2023-01-08 03:27:00,66,False,ORD
GlobeAir8373,JetFly,2023-01-07 13:53:00,2023-01-07 16:53:00,91,False,SYD
GlobeAir4919,JetFly,2023-01-07 20:04:00,2023-01-07 23:04:00,26,False,LHR
JetFly9849,AirNSR,2023-01-07 10:09:00,2023-01-07 12:09:00,75,False,ORD
SkyWave2052,GlobeAir,2023-01-07 19:21:00,2023-01-08 00:21:00,46,False,JFK
SkyWave7883,GlobeAir,2023-01-07 06:54:00,2023-01-07 11:54:00,0,False,JFK
JetFly5892,GlobeAir,2023-01-08 19:34:00,2023-01-09 00:34:00,46,False,ATL
GlobeAir4595,JetFly,2023-01-08 19:31:00,2023-01-08 20:31:00,99,False,HND
SkyWave8657,SkyWave,2023-01-08 06:58:00,2023-01-08 10:58:00,28,False,JFK
AirNSR8022,SkyWave,2023-01-08 20:11:00,2023-01-08 21:11:00,100,False,LHR
SkyWave8449,JetFly,2023-01-08 16:48:00,2023-01-08 20:48:00,0,False,HND
JetFly2341,GlobeAir,2023-01-08 06:47:00,2023-01-08 11:47:00,66,False,LHR
SkyWave2124,AirNSR,2023-01-08 06:15:00,2023-01-08 08:15:00,33,False,GRU
SkyWave4908,SkyWave,2023-01-08 21:42:00,2023-01-08 22:42:00,16,False,ATL
GlobeAir5198,JetFly,2023-01-08 11:38:00,2023-01-08 16:38:00,34,False,LAX
SkyWave6096,AirNSR,2023-01-08 06:59:00,2023-01-08 09:59:00,0,False,HND
GlobeAir4249,AirNSR,2023-01-09 13:06:00,2023-01-09 16:06:00,20,False,GRU
AirNSR1672,JetFly,2023-01-09 19:42:00,2023-01-09 22:42:00,46,False,LHR
AirNSR7882,GlobeAir,2023-01-09 09:27:00,2023-01-09 12:27:00,96,False,DXB
SkyWave8135,SkyWave,2023-01-09 22:41:00,2023-01-10 01:41:00,6,False,SYD
GlobeAir8616,GlobeAir,2023-01-09 14:20:00,2023-01-09 16:20:00,0,False,LAX
JetFly8385,SkyWave,2023-01-09 20:36:00,2023-01-10 01:36:00,7,False,LHR
AirNSR9098,JetFly,2023-01-09 11:31:00,2023-01-09 13:31:00,71,False,CDG
JetFly5581,PacificWings,2023-01-09 14:35:00,2023-01-09 15:35:00,44,False,ATL
AirNSR4954,GlobeAir,2023-01-09 21:35:00,2023-01-09 23:35:00,6,False,DXB
GlobeAir1282,AirNSR,2023-01-09 15:14:00,2023-01-09 19:14:00,53,False,CDG
PacificWings7046,GlobeAir,2023-01-10 22:22:00,2023-01-11 02:22:00,34,False,SYD
JetFly6764,GlobeAir,2023-01-10 14:19:00,2023-01-10 17:19:00,73,False,ATL
JetFly2958,PacificWings,2023-01-10 11:12:00,2023-01-10 13:12:00,0,False,CDG
PacificWings9595,PacificWings,2023-01-10 15:06:00,2023-01-10 17:06:00,15,False,LHR
SkyWave5952,AirNSR,2023-01-10 10:17:00,2023-01-10 11:17:00,12,False,SYD
JetFly3068,GlobeAir,2023-01-10 09:55:00,2023-01-10 10:55:00,0,False,DXB
GlobeAir8216,JetFly,2023-01-10 11:03:00,2023-01-10 14:03:00,43,False,DXB
AirNSR2070,GlobeAir,2023-01-10 21:04:00,2023-01-11 02:04:00,41,False,JFK
SkyWave3444,PacificWings,2023-01-10 15:05:00,2023-01-10 17:05:00,30,False,HND
PacificWings4697,PacificWings,2023-01-10 18:28:00,2023-01-10 22:28:00,19,False,GRU
GlobeAir6003,PacificWings,2023-01-11 07:39:00,2023-01-11 08:39:00,0,False,ATL
SkyWave5335,AirNSR,2023-01-11 11:15:00,2023-01-11 13:15:00,11,False,ORD
AirNSR7693,GlobeAir,2023-01-11 21:18:00,2023-01-11 22:18:00,14,False,CDG
GlobeAir2166,SkyWave,2023-01-11 14:50:00,2023-01-11 19:50:00,0,False,ATL
GlobeAir2880,PacificWings,2023-01-11 13:41:00,2023-01-11 15:41:00,22,False,ORD
AirNSR1977,SkyWave,2023-01-11 15:38:00,2023-01-11 20:38:00,48,False,DXB
AirNSR8679,JetFly,2023-01-11 18:17:00,2023-01-11 23:17:00,114,False,DXB
AirNSR1653,GlobeAir,2023-01-11 16:38:00,2023-01-11 19:38:00,37,True,ATL
PacificWings1339,JetFly,2023-01-11 07:48:00,2023-01-11 09:48:00,41,False,DXB
JetFly3973,PacificWings,2023-01-11 19:40:00,2023-01-11 23:40:00,26,False,DXB
JetFly7690,JetFly,2023-01-12 16:42:00,2023-01-12 17:42:00,0,False,LHR
GlobeAir9117,JetFly,2023-01-12 18:52:00,2023-01-12 23:52:00,28,True,LAX
JetFly5135,JetFly,2023-01-12 09:49:00,2023-01-12 13:49:00,32,False,JFK
PacificWings8569,GlobeAir,2023-01-12 07:12:00,2023-01-12 12:12:00,140,False,DXB
GlobeAir1845,SkyWave,2023-01-12 14:35:00,2023-01-12 16:35:00,21,False,DXB
GlobeAir2989,AirNSR,2023-01-12 13:45:00,2023-01-12 15:45:00,43,False,JFK
PacificWings7684,AirNSR,2023-01-12 13:53:00,2023-01-12 14:53:00,28,False,LAX
SkyWave9165,JetFly,2023-01-12 22:45:00,2023-01-13 01:45:00,0,False,DXB
GlobeAir4993,GlobeAir,2023-01-12 10:24:00,2023-01-12 12:24:00,81,False,SYD
SkyWave2143,JetFly,2023-01-12 19:21:00,2023-01-13 00:21:00,63,False,JFK
JetFly5891,PacificWings,2023-01-13 21:55:00,2023-01-13 23:55:00,65,False,DXB
JetFly6446,PacificWings,2023-01-13 18:29:00,2023-01-13 21:29:00,0,False,ATL
PacificWings7274,SkyWave,2023-01-13 19:02:00,2023-01-13 22:02:00,93,False,HND
GlobeAir3492,GlobeAir,2023-01-13 07:08:00,2023-01-13 12:08:00,0,False,LHR
AirNSR8213,AirNSR,2023-01-13 22:58:00,2023-01-14 02:58:00,56,True,ORD
GlobeAir3529,AirNSR,2023-01-13 21:50:00,2023-01-14 00:50:00,128,False,HND
AirNSR6383,PacificWings,2023-01-13 18:20:00,2023-01-13 22:20:00,0,False,JFK
PacificWings2121,SkyWave,2023-01-13 15:14:00,2023-01-13 16:14:00,4,False,LAX
AirNSR8269,SkyWave,2023-01-13 15:57:00,2023-01-13 16:57:00,34,True,JFK
JetFly6873,JetFly,2023-01-13 19:09:00,2023-01-13 21:09:00,7,False,GRU
SkyWave3785,SkyWave,2023-01-14 08:39:00,2023-01-14 12:39:00,0,False,ATL
GlobeAir3344,SkyWave,2023-01-14 20:40:00,2023-01-14 23:40:00,33,False,JFK
GlobeAir5712,PacificWings,2023-01-14 11:04:00,2023-01-14 15:04:00,0,False,GRU
JetFly7951,JetFly,2023-01-14 20:54:00,2023-01-14 23:54:00,51,False,HND
GlobeAir2747,SkyWave,2023-01-14 18:36:00,2023-01-14 21:36:00,0,False,CDG
AirNSR7484,JetFly,2023-01-14 06:36:00,2023-01-14 07:36:00,99,False,DXB
JetFly4770,PacificWings,2023-01-14 17:14:00,2023-01-14 19:14:00,0,False,ORD
AirNSR1645,JetFly,2023-01-14 20:02:00,2023-01-15 01:02:00,15,False,ORD
AirNSR5835,JetFly,2023-01-14 19:11:00,2023-01-14 21:11:00,66,False,SYD
JetFly9697,PacificWings,2023-01-14 14:53:00,2023-01-14 16:53:00,0,False,DXB
JetFly6549,AirNSR,2023-01-15 20:04:00,2023-01-15 22:04:00,40,False,ATL
GlobeAir6992,AirNSR,2023-01-15 18:00:00,2023-01-15 21:00:00,88,False,DXB
JetFly5295,PacificWings,2023-01-15 18:52:00,2023-01-15 21:52:00,0,False,ATL
GlobeAir1410,PacificWings,2023-01-15 16:58:00,2023-01-15 21:58:00,38,False,LAX
GlobeAir5951,GlobeAir,2023-01-15 09:08:00,2023-01-15 10:08:00,41,False,CDG
GlobeAir2902,AirNSR,2023-01-15 13:56:00,2023-01-15 18:56:00,65,False,DXB
JetFly9850,GlobeAir,2023-01-15 10:56:00,2023-01-15 14:56:00,0,False,DXB
PacificWings7686,JetFly,2023-01-15 07:44:00,2023-01-15 10:44:00,0,False,DXB
SkyWave6942,AirNSR,2023-01-15 17:34:00,2023-01-15 20:34:00,53,False,CDG
SkyWave3001,GlobeAir,2023-01-15 08:42:00,2023-01-15 10:42:00,43,False,GRU
AirNSR1828,JetFly,2023-01-16 13:08:00,2023-01-16 18:08:00,41,False,SYD
SkyWave4538,SkyWave,2023-01-16 16:49:00,2023-01-16 18:49:00,45,False,GRU
AirNSR5542,SkyWave,2023-01-16 10:34:00,2023-01-16 13:34:00,0,False,LAX
AirNSR3159,AirNSR,2023-01-16 17:50:00,2023-01-16 19:50:00,40,False,JFK
SkyWave5347,AirNSR,2023-01-16 10:47:00,2023-01-16 14:47:00,43,False,LAX
GlobeAir8344,JetFly,2023-01-16 22:37:00,2023-01-16 23:37:00,0,False,ATL
PacificWings1710,PacificWings,2023-01-16 15:29:00,2023-01-16 16:29:00,113,False,DXB
GlobeAir7984,AirNSR,2023-01-16 21:45:00,2023-01-17 01:45:00,51,False,LAX
JetFly3430,AirNSR,2023-01-16 10:17:00,2023-01-16 15:17:00,0,False,SYD
JetFly7240,PacificWings,2023-01-16 22:18:00,2023-01-17 02:18:00,59,False,HND
AirNSR2874,PacificWings,2023-01-17 12:27:00,2023-01-17 16:27:00,0,False,HND
JetFly8430,GlobeAir,2023-01-17 19:46:00,2023-01-17 20:46:00,65,False,LHR
JetFly7132,SkyWave,2023-01-17 21:04:00,2023-01-17 22:04:00,82,False,LAX
GlobeAir2582,JetFly,2023-01-17 10:35:00,2023-01-17 11:35:00,0,False,SYD
PacificWings6400,AirNSR,2023-01-17 19:22:00,2023-01-17 23:22:00,73,False,JFK
JetFly6119,JetFly,2023-01-17 09:36:00,2023-01-17 14:36:00,48,False,DXB
SkyWave2773,JetFly,2023-01-17 17:07:00,2023-01-17 20:07:00,66,False,HND
PacificWings1430,PacificWings,2023-01-17 14:01:00,2023-01-17 16:01:00,115,False,CDG
JetFly6751,AirNSR,2023-01-17 11:55:00,2023-01-17 13:55:00,18,False,HND
AirNSR3324,AirNSR,2023-01-17 08:47:00,2023-01-17 13:47:00,0,False,HND
GlobeAir6585,SkyWave,2023-01-18 17:19:00,2023-01-18 20:19:00,0,False,GRU
PacificWings2391,AirNSR,2023-01-18 10:10:00,2023-01-18 15:10:00,0,True,LAX
JetFly8259,GlobeAir,2023-01-18 21:38:00,2023-01-19 01:38:00,26,False,ATL
PacificWings2864,JetFly,2023-01-18 19:07:00,2023-01-18 22:07:00,45,False,GRU
GlobeAir9633,JetFly,2023-01-18 07:14:00,2023-01-18 11:14:00,42,False,JFK
AirNSR4349,JetFly,2023-01-18 12:49:00,2023-01-18 14:49:00,67,False,CDG
JetFly2965,AirNSR,2023-01-18 21:47:00,2023-01-19 01:47:00,30,False,HND
PacificWings4770,PacificWings,2023-01-18 17:04:00,2023-01-18 21:04:00,95,False,JFK
GlobeAir1307,GlobeAir,2023-01-18 08:55:00,2023-01-18 11:55:00,18,False,GRU
GlobeAir7843,JetFly,2023-01-18 09:25:00,2023-01-18 10:25:00,152,False,ORD
PacificWings8538,JetFly,2023-01-19 08:27:00,2023-01-19 09:27:00,58,False,GRU
GlobeAir9584,AirNSR,2023-01-19 18:55:00,2023-01-19 21:55:00,0,False,ATL
JetFly3754,AirNSR,2023-01-19 22:40:00,2023-01-19 23:40:00,0,False,ATL
JetFly6752,SkyWave,2023-01-19 13:06:00,2023-01-19 15:06:00,51,False,ORD
PacificWings3504,AirNSR,2023-01-19 11:49:00,2023-01-19 15:49:00,19,False,GRU
PacificWings8354,PacificWings,2023-01-19 16:55:00,2023-01-19 19:55:00,62,False,LAX
GlobeAir8245,JetFly,2023-01-19 14:37:00,2023-01-19 15:37:00,51,False,LAX
JetFly8565,GlobeAir,2023-01-19 07:03:00,2023-01-19 10:03:00,26,False,LAX
AirNSR9307,GlobeAir,2023-01-19 20:37:00,2023-01-20 01:37:00,0,False,JFK
GlobeAir4084,JetFly,2023-01-19 21:32:00,2023-01-19 23:32:00,0,False,DXB
AirNSR6626,AirNSR,2023-01-20 22:41:00,2023-01-21 00:41:00,9,True,DXB
GlobeAir9586,PacificWings,2023-01-20 11:23:00,2023-01-20 14:23:00,68,False,HND
GlobeAir6543,PacificWings,2023-01-20 07:50:00,2023-01-20 10:50:00,39,False,LAX
PacificWings7333,JetFly,2023-01-20 14:46:00,2023-01-20 19:46:00,0,False,LHR
AirNSR3317,JetFly,2023-01-20 15:41:00,2023-01-20 19:41:00,37,False,LAX
JetFly7171,JetFly,2023-01-20 10:42:00,2023-01-20 15:42:00,47,False,HND
PacificWings6928,AirNSR,2023-01-20 17:19:00,2023-01-20 19:19:00,0,False,LHR
GlobeAir4145,SkyWave,2023-01-20 10:09:00,2023-01-20 11:09:00,36,False,LAX
PacificWings9843,PacificWings,2023-01-20 07:42:00,2023-01-20 10:42:00,32,False,GRU
SkyWave7172,SkyWave,2023-01-20 11:11:00,2023-01-20 16:11:00,0,False,ORD
GlobeAir1715,GlobeAir,2023-01-21 17:43:00,2023-01-21 19:43:00,46,False,GRU
JetFly8355,SkyWave,2023-01-21 13:19:00,2023-01-21 17:19:00,55,False,ATL
JetFly8218,GlobeAir,2023-01-21 15:49:00,2023-01-21 19:49:00,78,False,HND
SkyWave4271,PacificWings,2023-01-21 10:55:00,2023-01-21 13:55:00,77,False,DXB
JetFly2680,PacificWings,2023-01-21 09:18:00,2023-01-21 10:18:00,0,False,CDG
GlobeAir9410,SkyWave,2023-01-21 19:05:00,2023-01-21 21:05:00,0,False,LHR
AirNSR7797,AirNSR,2023-01-21 18:32:00,2023-01-21 21:32:00,53,False,LAX
JetFly4678,AirNSR,2023-01-21 16:59:00,2023-01-21 17:59:00,53,False,LHR
SkyWave3254,AirNSR,2023-01-21 15:58:00,2023-01-21 19:58:00,53,False,ORD
GlobeAir8349,PacificWings,2023-01-21 06:57:00,2023-01-21 07:57:00,203,True,ATL
SkyWave9991,PacificWings,2023-01-22 22:27:00,2023-01-22 23:27:00,55,False,ATL
JetFly2996,AirNSR,2023-01-22 13:26:00,2023-01-22 18:26:00,81,False,LAX
GlobeAir9782,AirNSR,2023-01-22 22:36:00,2023-01-23 00:36:00,72,False,CDG
GlobeAir1025,PacificWings,2023-01-22 17:15:00,2023-01-22 22:15:00,59,False,LAX
PacificWings6908,AirNSR,2023-01-22 22:34:00,2023-01-23 03:34:00,15,False,SYD
PacificWings1333,GlobeAir,2023-01-22 21:02:00,2023-01-23 01:02:00,64,False,CDG
AirNSR6850,AirNSR,2023-01-22 17:15:00,2023-01-22 18:15:00,0,False,LHR
SkyWave1726,JetFly,2023-01-22 16:52:00,2023-01-22 18:52:00,19,False,DXB
GlobeAir3986,SkyWave,2023-01-22 08:45:00,2023-01-22 12:45:00,8,True,ATL
AirNSR4268,AirNSR,2023-01-22 16:59:00,2023-01-22 19:59:00,33,False,SYD
GlobeAir5150,AirNSR,2023-01-23 12:18:00,2023-01-23 15:18:00,134,False,JFK
JetFly5476,AirNSR,2023-01-23 17:27:00,2023-01-23 21:27:00,0,False,HND
JetFly4060,GlobeAir,2023-01-23 21:23:00,2023-01-24 02:23:00,60,False,LAX
GlobeAir2293,GlobeAir,2023-01-23 11:34:00,2023-01-23 14:34:00,0,False,LAX
JetFly5843,JetFly,2023-01-23 20:38:00,2023-01-24 00:38:00,8,False,DXB
JetFly8325,AirNSR,2023-01-23 17:39:00,2023-01-23 21:39:00,79,False,JFK
AirNSR7655,JetFly,2023-01-23 22:51:00,2023-01-24 00:51:00,32,False,ORD
PacificWings8179,AirNSR,2023-01-23 10:04:00,2023-01-23 12:04:00,0,False,LHR
JetFly7272,PacificWings,2023-01-23 07:38:00,2023-01-23 09:38:00,0,False,LHR
JetFly8273,AirNSR,2023-01-23 10:33:00,2023-01-23 13:33:00,60,False,CDG
SkyWave2858,AirNSR,2023-01-24 11:31:00,2023-01-24 16:31:00,0,False,SYD
AirNSR5288,JetFly,2023-01-24 20:13:00,2023-01-25 01:13:00,39,False,DXB
SkyWave3009,SkyWave,2023-01-24 08:28:00,2023-01-24 10:28:00,32,False,DXB
AirNSR6236,JetFly,2023-01-24 08:35:00,2023-01-24 13:35:00,0,False,CDG
SkyWave3852,JetFly,2023-01-24 22:14:00,2023-01-24 23:14:00,126,False,ORD
SkyWave9094,AirNSR,2023-01-24 17:35:00,2023-01-24 22:35:00,58,False,SYD
SkyWave2412,AirNSR,2023-01-24 15:25:00,2023-01-24 19:25:00,0,False,HND
PacificWings2208,SkyWave,2023-01-24 16:41:00,2023-01-24 17:41:00,38,False,SYD
JetFly3102,PacificWings,2023-01-24 11:49:00,2023-01-24 13:49:00,0,False,JFK
AirNSR9488,SkyWave,2023-01-24 15:10:00,2023-01-24 17:10:00,68,False,ATL
JetFly9501,JetFly,2023-01-25 08:16:00,2023-01-25 10:16:00,0,False,SYD
JetFly3050,JetFly,2023-01-25 08:32:00,2023-01-25 10:32:00,24,False,GRU
SkyWave3804,PacificWings,2023-01-25 16:53:00,2023-01-25 21:53:00,52,True,JFK
AirNSR1744,PacificWings,2023-01-25 14:41:00,2023-01-25 16:41:00,68,False,HND
PacificWings1496,GlobeAir,2023-01-25 15:41:00,2023-01-25 18:41:00,0,False,HND
JetFly8430,AirNSR,2023-01-25 07:10:00,2023-01-25 11:10:00,14,False,DXB
SkyWave6573,PacificWings,2023-01-25 10:20:00,2023-01-25 13:20:00,8,False,LHR
GlobeAir3142,JetFly,2023-01-25 22:35:00,2023-01-25 23:35:00,0,False,DXB
AirNSR5382,GlobeAir,2023-01-25 13:09:00,2023-01-25 14:09:00,109,False,HND
PacificWings7850,SkyWave,2023-01-25 11:52:00,2023-01-25 14:52:00,48,False,LHR
SkyWave3610,GlobeAir,2023-01-26 22:29:00,2023-01-27 02:29:00,0,False,DXB
AirNSR2475,GlobeAir,2023-01-26 22:29:00,2023-01-27 00:29:00,71,False,LHR
AirNSR1828,JetFly,2023-01-26 21:38:00,2023-01-27 01:38:00,125,False,JFK
AirNSR8060,SkyWave,2023-01-26 14:46:00,2023-01-26 17:46:00,76,False,LHR
AirNSR7563,AirNSR,2023-01-26 12:23:00,2023-01-26 17:23:00,0,False,HND
PacificWings8378,PacificWings,2023-01-26 14:52:00,2023-01-26 19:52:00,8,False,LAX
SkyWave2584,GlobeAir,2023-01-26 17:50:00,2023-01-26 20:50:00,87,False,LHR
SkyWave4261,PacificWings,2023-01-26 22:25:00,2023-01-27 03:25:00,0,True,JFK
SkyWave6456,GlobeAir,2023-01-26 22:29:00,2023-01-27 00:29:00,49,False,SYD
SkyWave6373,PacificWings,2023-01-26 16:10:00,2023-01-26 20:10:00,64,False,CDG
PacificWings6511,PacificWings,2023-01-27 22:34:00,2023-01-28 02:34:00,0,False,CDG
GlobeAir1272,JetFly,2023-01-27 16:43:00,2023-01-27 17:43:00,27,False,GRU
JetFly1436,PacificWings,2023-01-27 21:16:00,2023-01-28 02:16:00,0,False,JFK
PacificWings8871,SkyWave,2023-01-27 22:40:00,2023-01-28 03:40:00,0,False,HND
SkyWave4968,AirNSR,2023-01-27 09:12:00,2023-01-27 10:12:00,18,False,HND
SkyWave7765,SkyWave,2023-01-27 19:32:00,2023-01-28 00:32:00,0,False,JFK
SkyWave9498,SkyWave,2023-01-27 16:42:00,2023-01-27 20:42:00,103,False,LHR
SkyWave8531,PacificWings,2023-01-27 16:34:00,2023-01-27 19:34:00,0,False,CDG
PacificWings8932,SkyWave,2023-01-27 13:17:00,2023-01-27 18:17:00,10,False,CDG
JetFly4396,GlobeAir,2023-01-27 16:30:00,2023-01-27 19:30:00,35,False,CDG
JetFly2996,PacificWings,2023-01-28 18:57:00,2023-01-28 22:57:00,94,False,ORD
JetFly1689,JetFly,2023-01-28 08:22:00,2023-01-28 12:22:00,0,False,DXB
SkyWave4310,PacificWings,2023-01-28 14:59:00,2023-01-28 19:59:00,82,False,ORD
AirNSR4920,SkyWave,2023-01-28 07:42:00,2023-01-28 12:42:00,30,False,ATL
AirNSR2641,GlobeAir,2023-01-28 16:45:00,2023-01-28 20:45:00,0,False,ORD
AirNSR3587,GlobeAir,2023-01-28 21:30:00,2023-01-28 23:30:00,50,False,CDG
JetFly5676,AirNSR,2023-01-28 08:41:00,2023-01-28 13:41:00,38,False,JFK
SkyWave7846,SkyWave,2023-01-28 07:53:00,2023-01-28 11:53:00,2,False,ORD
JetFly1613,AirNSR,2023-01-28 15:36:00,2023-01-28 20:36:00,33,False,LHR
JetFly8444,PacificWings,2023-01-28 22:31:00,2023-01-29 00:31:00,12,False,DXB
JetFly4159,AirNSR,2023-01-29 16:10:00,2023-01-29 20:10:00,35,False,ORD
AirNSR6523,JetFly,2023-01-29 12:11:00,2023-01-29 17:11:00,59,False,HND
GlobeAir9442,JetFly,2023-01-29 08:25:00,2023-01-29 09:25:00,101,False,ORD
GlobeAir6301,SkyWave,2023-01-29 06:16:00,2023-01-29 10:16:00,0,False,CDG
JetFly5947,PacificWings,2023-01-29 06:16:00,2023-01-29 09:16:00,125,False,JFK
AirNSR8625,JetFly,2023-01-29 11:25:00,2023-01-29 16:25:00,0,False,CDG
AirNSR5833,JetFly,2023-01-29 13:14:00,2023-01-29 15:14:00,23,False,DXB
PacificWings7121,GlobeAir,2023-01-29 21:48:00,2023-01-30 02:48:00,56,False,ATL
SkyWave2341,PacificWings,2023-01-29 20:33:00,2023-01-29 23:33:00,42,False,GRU
AirNSR2011,PacificWings,2023-01-29 22:12:00,2023-01-30 03:12:00,1,False,ORD
